abandon|放弃，抛弃
ability|能力，才能
able|能够的，有能力的
about|关于，大约
above|在...上面
abroad|在国外
absence|缺席，不在场
absent|缺席的，不在的
absolute|绝对的，完全的
absorb|吸收；吸引
abuse|滥用；虐待
academic|学术的
accent|口音，重音
accept|接受
access|接近，通道
accident|事故
accommodation|住宿，调节
accompany|陪伴，伴奏
accomplish|完成，实现
according|根据，按照
account|账户，描述
accurate|准确的，精确的
accuse|指责，控告
achieve|实现，获得
achievement|成就，成绩
acid|酸性的；酸
acknowledge|承认；感谢
acquire|获得，取得
across|穿过，横过
act|行动，表演
action|行动，作用
active|积极的，活跃的
activity|活动，活跃
actor|演员
actress|女演员
actual|实际的，真实的
adapt|适应，改编
add|增加，添加
addition|增加，加法
additional|额外的，附加的
address|地址；演说
adequate|足够的，适当的
adjust|调整，调节
administration|管理，行政部门
admire|钦佩，羡慕
admit|承认；准许进入
adopt|采纳，收养
adult|成年人
advance|前进，进展
advanced|先进的，高级的
advantage|优点，优势
adventure|冒险，奇遇
advertise|做广告，宣传
advertisement|广告
advice|建议，忠告
advise|建议，劝告
advocate|提倡，拥护
affair|事件，事情
affect|影响
afford|负担得起
afraid|害怕的，担心的
after|在...之后
afternoon|下午，午后
again|再一次，又
against|反对；靠着
age|年龄；时代
agency|代理处，机构
agenda|议程表，日程
ago|以前，...前
agree|同意，赞成
agreement|协议，一致
agriculture|农业，农学
ahead|在前面，向前
aid|帮助，援助
aim|目标；瞄准
air|空气；天空
aircraft|飞机，航空器
airline|航空公司；航线
airport|机场
alarm|警报；惊慌
alcohol|酒精，酒
alive|活着的，存在的
all|全部的；所有的
allow|允许，准许
almost|几乎，差不多
alone|独自的；孤独的
along|沿着；向前
aloud|大声地
already|已经，早已
also|也，而且
alter|改变，更改
alternative|可供选择的
although|虽然，尽管
altogether|总共；完全地
always|总是，一直
amazing|令人惊异的
ambition|野心，雄心
ambulance|救护车
among|在...之中
amount|数量；总额
ample|足够的，宽敞的
amuse|娱乐，逗乐
analyze|分析，解析
analysis|分析，分解
ancient|古代的，古老的
and|和，又
anger|愤怒，气愤
angle|角度，角落
angry|生气的，愤怒的
animal|动物
anniversary|周年纪念日
announce|宣布，宣告
annoy|使烦恼，打扰
annual|每年的，年度的
another|另一个；别的
answer|回答，答案
anxiety|焦虑，忧虑
anxious|焦虑的，担心的
any|任何的，一些
anybody|任何人
anyhow|无论如何
anyone|任何人
anything|任何事
anyway|无论如何
anywhere|任何地方
apart|相隔；分开
apartment|公寓，房间
apologize|道歉
apparent|显然的，表面上的
appeal|呼吁；上诉
appear|出现，似乎
appearance|出现，外貌
appetite|胃口，欲望
applaud|鼓掌；称赞
apple|苹果
application|申请；应用
apply|申请；应用
appoint|任命，约定
appointment|约会，任命
appreciate|欣赏；感激
approach|方法；靠近
appropriate|适当的，恰当的
approve|批准，赞成
approximately|大约，近似地
area|地区，区域
argue|争论，辩论
argument|争论，论据
arise|出现；升起
arithmetic|算术
arm|手臂；武器
army|军队，陆军
around|在...周围
arrange|安排，整理
