young|年轻的
water|水
try|尝试，努力
know|知道，了解
house|房子，住宅
think|想，认为
good|好的，优秀的
people|人们，人民
see|看见，明白
work|工作，劳动
make|制造，使得
take|拿，取
day|天，白天
get|得到，变得
time|时间，次数
year|年
way|方法，道路
man|男人，人
new|新的，新鲜的
want|想要，需要
because|因为
child|孩子，儿童
use|使用，用途
find|找到，发现
here|这里，此处
tell|告诉，讲述
ask|问，询问
feel|感觉，触摸
become|成为，变得
leave|离开，留下
put|放，置
mean|意思是，意味着
old|老的，古老的
keep|保持，保留
school|学校，学院
late|晚的，迟的
off|离开；关闭
why|为什么
national|国家的，国民的
very|非常，很
through|通过，穿过
social|社会的，社交的
place|地方，地点
report|报告，报道
city|城市，都市
problem|问题，难题
three|三
play|玩，比赛
against|反对；靠着
move|移动，搬家
night|夜晚，黑夜
never|从未，绝不
same|相同的，一样的
another|另一个；别的
begin|开始
while|当……时候；而
high|高的，高级的
country|国家；乡村
help|帮助，援助
talk|谈话，交谈
where|哪里
turn|转动，轮流
few|很少的，几乎没有的
start|开始，出发
might|可能，也许
hand|手，协助
show|展示，演出
part|部分，角色
over|在...上方；超过
something|某事，某物
still|仍然，依旧
large|大的，巨大的
must|必须，一定
big|大的，巨大的
even|甚至，即使
such|这样的，如此的
because|因为
here|这里，此处
again|再一次，又
any|任何的，一些
every|每个的，每一的
most|最多的，大多数的
another|另一个；别的
after|在...之后
before|在...之前
between|在...之间
under|在……下面
without|没有
however|然而，无论如何
yes|是，是的
back|后面的；背部
down|向下，朝下
out|出，在外
up|向上，在上面
in|在...里面
on|在...上；关于
at|在...地点
by|通过；在...旁边
with|和……一起，带有
about|关于，大约
among|在...之中
since|自从；因为
during|在...期间
until|直到……为止
than|比
upon|在……之上（较正式）
per|每，每一
via|经由，通过
plus|加；正的
minus|减去，负的
except|除了...之外
including|包括
according|根据，按照
instead|代替，反而
otherwise|否则；另外
therefore|因此，所以
thus|因此，从而
hence|因此，从此
consequently|因此，所以
meanwhile|同时，当...的时候
furthermore|此外，而且
moreover|而且，此外
namely|即，也就是
especially|特别，尤其
particularly|特别地
usually|通常地
often|经常，常常
sometimes|有时，偶尔
rarely|很少，不常
hardly|几乎不，简直不
scarcely|几乎不，简直没有
directly|直接地，立即
immediately|立即，即刻
instantly|立即地，即刻地
quickly|迅速地
slowly|缓慢地
carefully|小心地，仔细地
easily|容易地，不费力地
simply|简单地，仅仅
clearly|清晰地；显然
exactly|确切地，恰恰
obviously|明显地，显而易见地
probably|很可能，大概
perhaps|也许，可能
maybe|大概，或许
actually|实际上，事实上
basically|基本上，主要地
generally|一般地，通常地
normally|正常地，通常地
suddenly|突然地
gradually|逐渐地，逐步地
finally|最后，终于
eventually|最终，最后
recently|最近，近来
currently|当前，目前
constantly|不断地，时常地
frequently|频繁地，经常地
occasionally|偶尔，间或
seldom|很少，不常
almost|几乎，差不多
nearly|几乎，差不多
approximately|大约，近似地
roughly|粗略地，大致地
exactly|确切地，恰恰
precisely|精确地，正好
absolutely|绝对地，完全地
completely|完全地，彻底地
totally|完全地，全部地
entirely|完全地，彻底地
partly|部分地，在一定程度上
mainly|主要地，大部分
mostly|主要地，大部分
chiefly|主要地，首要地
primarily|主要地，首先
essentially|本质上，基本上
fundamentally|根本上，基本地
significantly|显著地，重要地
considerably|相当地，非常地
greatly|大大地，非常
highly|高度地，非常
deeply|深深地，深刻地
strongly|强烈地，坚固地
seriously|严重地；认真地
badly|严重地；恶劣地
hard|困难地；努力地
fast|快地，迅速地
soon|很快，不久
early|早地，早期
late|晚地，迟地
once|一次；曾经
twice|两次，两倍
together|一起，共同
apart|相隔；分开
aside|在旁边
away|离开，远离
back|回原处；向后
forth|向前，向外
forward|向前地
onward|向前，前进
upward|向上地
downward|向下地
inward|向内，向内部
outward|向外，在外
clockwise|顺时针方向地
counterclockwise|逆时针方向地
left|向左，在左边
right|向右，在右边
north|向北
south|向南
east|向东
west|向西
abroad|在国外，到国外
overseas|在海外，海外地
home|在家，到家
indoors|在室内
outdoors|在户外，在野外
upstairs|在楼上
downstairs|在楼下，往楼下
downtown|在市中心，往市中心
underground|在地下；地铁
somewhere|在某处，某地
anywhere|任何地方
nowhere|任何地方都不
